# ang   homo-0       homo-1       homo-2       homo-3       homo-4    
   0 9.018341e+01 8.996344e+01 9.000640e+01 8.900527e+01 8.999341e+01
  10 9.012709e+01 8.997669e+01 9.000253e+01 8.933780e+01 8.999572e+01
  20 9.006076e+01 8.999015e+01 8.999948e+01 8.969852e+01 8.999797e+01
  30 8.999415e+01 9.000294e+01 8.999753e+01 9.006961e+01 9.000005e+01
  40 8.992830e+01 9.001430e+01 8.999695e+01 9.043573e+01 9.000185e+01
  50 8.987004e+01 9.002365e+01 8.999796e+01 9.078165e+01 9.000323e+01
  60 8.982115e+01 9.003037e+01 9.000052e+01 9.108195e+01 9.000417e+01
  70 8.978303e+01 9.003430e+01 9.000448e+01 9.133090e+01 9.000460e+01
  80 8.975597e+01 9.003531e+01 9.000944e+01 9.151059e+01 9.000454e+01
  90 8.973918e+01 9.003399e+01 9.001475e+01 9.161831e+01 9.000409e+01
 100 8.973325e+01 9.003105e+01 9.001950e+01 9.165206e+01 9.000339e+01
 110 8.973764e+01 9.162037e+01 9.000267e+01 8.996519e+01 8.997146e+01
 120 8.975136e+01 9.002443e+01 9.002386e+01 9.154630e+01 9.000222e+01
 130 8.977340e+01 9.002243e+01 9.002240e+01 9.141562e+01 9.000186e+01
 140 8.980093e+01 9.002184e+01 9.001841e+01 9.127182e+01 9.000220e+01
 150 8.983117e+01 9.002265e+01 9.001236e+01 9.110967e+01 9.000249e+01
 160 8.986133e+01 9.002449e+01 9.000484e+01 9.094263e+01 9.000324e+01
 170 8.988957e+01 9.002690e+01 8.999661e+01 9.077147e+01 9.000422e+01
 180 8.991544e+01 9.002910e+01 8.998817e+01 9.059838e+01 9.000522e+01
 190 8.993953e+01 9.003092e+01 8.998051e+01 9.042215e+01 9.000613e+01
 200 8.996255e+01 9.003139e+01 8.997398e+01 9.024271e+01 9.000679e+01
 210 8.998576e+01 9.003010e+01 8.996929e+01 9.005770e+01 9.000705e+01
 220 9.001106e+01 9.002658e+01 8.996682e+01 8.986613e+01 9.000643e+01
 230 9.003902e+01 9.002056e+01 8.996686e+01 8.966868e+01 9.000548e+01
 240 9.007103e+01 9.001197e+01 8.996945e+01 8.946372e+01 9.000395e+01
 250 9.010651e+01 9.000094e+01 8.997433e+01 8.925338e+01 9.000192e+01
 260 9.014407e+01 8.998854e+01 8.998111e+01 8.903959e+01 8.999987e+01
 270 9.018175e+01 8.997499e+01 8.998899e+01 8.882922e+01 8.999697e+01
 280 9.021645e+01 8.996165e+01 8.999717e+01 8.863038e+01 8.999441e+01
 290 9.024560e+01 8.994966e+01 9.000475e+01 8.845888e+01 8.999201e+01
 300 9.026761e+01 8.994021e+01 9.001097e+01 8.832784e+01 8.999004e+01
 310 9.028084e+01 8.993424e+01 9.001513e+01 8.825502e+01 8.998878e+01
 320 9.028505e+01 8.993240e+01 9.001701e+01 8.825516e+01 8.998826e+01
 330 9.027804e+01 8.993502e+01 9.001647e+01 8.833311e+01 8.998859e+01
 340 9.025930e+01 8.994156e+01 9.001411e+01 8.848940e+01 8.998965e+01
 350 9.022826e+01 8.995138e+01 9.001050e+01 8.871672e+01 8.999131e+01
